"week","day","content_type","working_title","intent_cluster","primary_url","tool_link","conversion_link","supporting_internal_link","source_guardrail","status"
"Week 2","Day 7","short Q&A","What documents do freelancers need before filing ITR for AY 2026-27?","freelancers","/blog/freelancer-itr-documents-ay-2026-27","/calculators/income-tax","/expert-consultation","/learn/guide/complete-itr-guide-salaried","Clarify presumptive/business-income review needs; no guaranteed savings claims","ready_to_draft"
"Week 3","Day 1","expert guide","Notice-risk checklist before filing ITR with mismatched income or TDS","notices","/blog/notice-risk-checklist-before-itr-filing","/tds-refund-tracker","/expert-consultation","/itr-season-2026/ais-form-26as-mismatch-checklist","Use cautious language around notices and demands","ready_to_draft"
"Week 3","Day 2","short Q&A","How to check whether your bank account is ready for refund credit","refunds","/blog/bank-account-validation-income-tax-refund","/tds-refund-tracker","/itr/form-selector","/itr-season-2026/itr-deadline-refund-status-tracker","Refer users to official portal for final validation status","ready_to_draft"
"Week 3","Day 3","tool workflow","Using the regime comparator before submitting ITR","old vs new regime","/blog/use-regime-comparator-before-itr","/calculators/regime-comparator","/itr/form-selector","/calculators/income-tax","Confirm assumptions and add disclosure for deductions/exemptions","ready_to_draft"
"Week 3","Day 4","short Q&A","Do you need expert review for foreign assets or foreign income?","foreign assets","/blog/foreign-assets-income-itr-review-ay-2026-27","/calculators/income-tax","/expert-consultation","/learn/guide/complete-itr-guide-salaried","Avoid simplified advice; route to expert review for Schedule FA/DTAA facts","ready_to_draft"
"Week 3","Day 5","refresh","Refresh capital gains import page with broker-statement checklist CTA","salary plus capital gains","/capital-gains-import","/capital-gains-import","/expert-consultation","/itr-season-2026/capital-gains-broker-statement-checklist","Keep upload/parser limitations visible","ready_to_refresh"
"Week 4","Day 1","expert guide","Complete pre-filing checklist for salaried users with deductions","ITR filing start","/blog/pre-filing-checklist-salaried-deductions-ay-2026-27","/form16-parser","/itr/form-selector","/learn/guide/complete-itr-guide-salaried","Confirm deduction references and avoid assured tax-saving claims","ready_to_draft"
"Week 4","Day 2","short Q&A","Can you revise an ITR if AIS data changes after filing?","AIS/Form 26AS mismatch","/blog/revised-itr-after-ais-change-ay-2026-27","/tds-refund-tracker","/expert-consultation","/itr-season-2026/ais-form-26as-mismatch-checklist","Confirm revised return rules from current official sources","ready_to_draft"
"Week 4","Day 3","tool workflow","From Form 16 to ITR form selector: filing-ready workflow","Form 16","/blog/form-16-to-itr-form-selector-workflow","/form16-parser","/itr/form-selector","/itr-season-2026/form-16-parser-guide","Explain user review and expert escalation triggers","ready_to_draft"
"Week 4","Day 4","short Q&A","How to explain capital gains entries while filing ITR","salary plus capital gains","/blog/explain-capital-gains-entries-itr","/capital-gains-import","/expert-consultation","/learn/guide/capital-gains-tax-guide","Avoid tax-treatment certainty without facts","ready_to_draft"
"Week 4","Day 5","refresh","Refresh blog hub intro for AY 2026-27 ITR season clusters","ITR filing start","/blog","/itr/form-selector","/expert-consultation","/itr-season-2026","Feature only current, reviewed pieces above archived content","ready_to_refresh"
