"priority","route","page_type","quality_status","approval_recorded","user_intent","audience","primary_keyword","key_topics","source_count","official_sources","source_last_checked","author","reviewer","approved_by","approved_at","required_action"
"P1","/legal/refund-policy","legal","needs_revision","no","informational","Customers checking refund eligibility, exclusions, evidence, and request steps for a MyeCA payment","Legal Refund Policy","Check whether the purchase is covered | Prepare payment and service records | Submit a traceable refund request","2","MyeCA terms of service: https://myeca.in/legal/terms-of-service | MyeCA pricing and service scope: https://myeca.in/pricing","2026-06-30","MyeCA Editorial Team - Tax and compliance editorial team","","","","Human review required: verify claims, source fit, examples, links, CTA, authorship, and visible body; then record approval in the CMS or source context."
"P1","/legal/terms-of-service","legal","needs_revision","no","informational","Customers reviewing account, payment, service-scope, third-party portal, and dispute terms","Legal Terms Of Service","Terms that govern use | Responsibilities and service limits | Questions before accepting","2","MyeCA privacy policy: https://myeca.in/legal/privacy-policy | MyeCA pricing and service scope: https://myeca.in/pricing","2026-06-30","MyeCA Editorial Team - Tax and compliance editorial team","","","","Human review required: verify claims, source fit, examples, links, CTA, authorship, and visible body; then record approval in the CMS or source context."
"P1","/trust","trust","needs_revision","no","informational","Taxpayers and businesses deciding whether to share financial records or purchase MyeCA support","MyeCA trust","Document-based professional review where shown | Editorial policy and correction policy for tax content | Secure document and data handling expectations | Professional review workflow | Editorial policy and correction policy | Data handling and document privacy | Refund/payment scope | Contact and escalation","2","MyeCA privacy policy: https://myeca.in/legal/privacy-policy | MyeCA terms of service: https://myeca.in/legal/terms-of-service","2026-06-30","MyeCA Editorial Team - Tax and compliance editorial team","","","","Human review required: verify claims, source fit, examples, links, CTA, authorship, and visible body; then record approval in the CMS or source context."
"P2","/all-services","hub","needs_revision","no","informational","Taxpayers, founders, and business owners choosing a filing, registration, compliance, or advisory service","CA services","CA services | tax services | business registration | service catalogue | tax APIs | Choose by required outcome | Prepare the case records | Confirm scope before payment","2","MyeCA service catalog: https://myeca.in/services | MyeCA pricing and service scope: https://myeca.in/pricing","2026-06-30","MyeCA Editorial Team - Tax and compliance editorial team","","","","Human review required: verify claims, source fit, examples, links, CTA, authorship, and visible body; then record approval in the CMS or source context."
"P2","/blog","hub","needs_revision","no","informational","Indian taxpayers and business owners looking for evidence-backed filing and compliance guidance","AY 2026-27 ITR filing","ITR season explainers | Salary, TDS, AIS, and refund topics | Links from guides to filing tools | ITR season knowledge hub | Evidence-first filing guidance","2","MyeCA tax and compliance guide library: https://myeca.in/learn/guides | MyeCA information-use disclaimer: https://myeca.in/legal/disclaimer","2026-06-30","MyeCA Editorial Team - Tax and compliance editorial team","","","","Human review required: verify claims, source fit, examples, links, CTA, authorship, and visible body; then record approval in the CMS or source context."
"P2","/calculators","hub","needs_revision","no","informational","Taxpayers, borrowers, and investors choosing an estimate or planning tool for a specific decision","tax calculators India","tax calculators India | income tax calculator | GST calculator | capital gains calculator | financial calculators | Pick the calculator for the decision | Save inputs and assumptions | Verify before acting","2","MyeCA calculator methodology overview: https://myeca.in/features/tax-calculator | MyeCA estimate and information-use disclaimer: https://myeca.in/legal/disclaimer","2026-06-30","MyeCA Editorial Team - Tax and compliance editorial team","","","","Human review required: verify claims, source fit, examples, links, CTA, authorship, and visible body; then record approval in the CMS or source context."
"P2","/calculators/advance-tax","calculator","needs_revision","no","transactional","Taxpayers with non-salary income estimating advance-tax instalments and interest exposure","FY 2025-26 advance tax reconciliation","Advance tax calculator | For taxpayers with non-salary income | Estimate advance-tax installments and interest risk | Prepare income estimate, TDS credits, due dates, and capital gains timing | Advance tax calculator inputs and output | Installment limits and verification | 234C next workflow","1","Income Tax Department: https://www.incometax.gov.in/","2026-06-30","MyeCA Editorial Team - Tax and compliance editorial team","","","","Human review required: verify claims, source fit, examples, links, CTA, authorship, and visible body; then record approval in the CMS or source context."
"P2","/calculators/capital-gains","calculator","needs_revision","no","transactional","Investors and property sellers estimating short-term and long-term capital-gains tax","capital gains calculator","Capital gains calculator | For investors and property sellers | Estimate STCG, LTCG, exemptions, and ITR form impact | Prepare broker statements, purchase dates, sale values, and AIS capital gains entries | Capital gains calculator inputs and output | STCG limits and verification | LTCG next workflow","2","Income Tax Department: https://www.incometax.gov.in/ | Securities and Exchange Board of India: https://www.sebi.gov.in/","2026-06-30","MyeCA Editorial Team - Tax and compliance editorial team","","","","Human review required: verify claims, source fit, examples, links, CTA, authorship, and visible body; then record approval in the CMS or source context."
"P2","/calculators/car-loan","calculator","needs_revision","no","transactional","Vehicle buyers comparing monthly instalments and total borrowing cost","car loan emi calculator","car loan emi calculator | vehicle loan calculator | auto loan emi | car loan interest rates | Enter the vehicle-loan terms | Read EMI and total interest | Compare the lender offer","1","Reserve Bank of India: https://www.rbi.org.in/","2026-06-30","MyeCA Editorial Team - Tax and compliance editorial team","","","","Human review required: verify claims, source fit, examples, links, CTA, authorship, and visible body; then record approval in the CMS or source context."
"P2","/calculators/deductions","calculator","needs_revision","no","transactional","Taxpayers checking deduction categories, evidence gaps, and regime impact before filing","Tax Deduction Planner","Section-wise checklist | Document readiness | Regime comparison prompt | ITR filing handoff | Tax Deduction Planner: output and intended use | Tax Deduction Planner: inputs to verify | Tax Deduction Planner: limitations before acting","1","Income Tax Department: https://www.incometax.gov.in/","2026-06-30","MyeCA Editorial Team - Tax and compliance editorial team","","","","Human review required: verify claims, source fit, examples, links, CTA, authorship, and visible body; then record approval in the CMS or source context."
"P2","/calculators/education-loan","calculator","needs_revision","no","transactional","Students and families modelling education-loan disbursement, moratorium, EMI, and interest","education loan emi calculator","education loan emi calculator | study loan calculator | education loan moratorium calculator | section 80E calculator | Model disbursement and moratorium | Understand the repayment estimate | Check the sanction terms","1","Reserve Bank of India: https://www.rbi.org.in/","2026-06-30","MyeCA Editorial Team - Tax and compliance editorial team","","","","Human review required: verify claims, source fit, examples, links, CTA, authorship, and visible body; then record approval in the CMS or source context."
"P2","/calculators/elss","calculator","needs_revision","no","transactional","Taxpayers assessing ELSS lock-in, 80C usage, investment risk, and filing records","ELSS Tax Saving Guide","Tax-saving overview | Risk checklist | Lock-in reminder | Comparison handoff | ELSS Tax Saving Guide: output and intended use | ELSS Tax Saving Guide: inputs to verify | ELSS Tax Saving Guide: limitations before acting","2","Income Tax Department: https://www.incometax.gov.in/ | Securities and Exchange Board of India: https://www.sebi.gov.in/","2026-06-30","MyeCA Editorial Team - Tax and compliance editorial team","","","","Human review required: verify claims, source fit, examples, links, CTA, authorship, and visible body; then record approval in the CMS or source context."
"P2","/calculators/emi","calculator","needs_revision","no","transactional","Borrowers comparing monthly instalments, tenure, and total interest across loan scenarios","emi calculator","EMI calculator | For borrowers | Estimate loan EMI and repayment burden | Prepare loan amount, interest rate, tenure, fees, and prepayment assumptions | EMI calculator inputs and output | Loan limits and verification | Interest next workflow","1","Reserve Bank of India: https://www.rbi.org.in/","2026-06-30","MyeCA Editorial Team - Tax and compliance editorial team","","","","Human review required: verify claims, source fit, examples, links, CTA, authorship, and visible body; then record approval in the CMS or source context."
"P2","/calculators/epf","calculator","needs_revision","no","transactional","Employees reviewing EPF contributions, records, transfers, withdrawals, or retirement planning","EPF calculator","Contribution checklist | Payroll record review | Retirement planning handoff | Compliance links | EPF Planning Guide: output and intended use | EPF Planning Guide: inputs to verify | EPF Planning Guide: limitations before acting","1","Employees' Provident Fund Organisation: https://www.epfindia.gov.in/","2026-06-30","MyeCA Editorial Team - Tax and compliance editorial team","","","","Human review required: verify claims, source fit, examples, links, CTA, authorship, and visible body; then record approval in the CMS or source context."
"P2","/calculators/fd","calculator","needs_revision","no","transactional","Deposit investors estimating fixed-deposit maturity and taxable interest","fd calculator","FD calculator | For deposit investors | Estimate fixed deposit maturity and taxable interest | Prepare deposit amount, tenure, compounding, AIS interest, and TDS credit | FD calculator inputs and output | Interest limits and verification | TDS next workflow","1","Reserve Bank of India: https://www.rbi.org.in/","2026-06-30","MyeCA Editorial Team - Tax and compliance editorial team","","","","Human review required: verify claims, source fit, examples, links, CTA, authorship, and visible body; then record approval in the CMS or source context."
"P2","/calculators/fd-enhanced","calculator","needs_revision","no","transactional","Deposit investors comparing compounding, maturity value, and post-tax fixed-deposit returns","enhanced FD calculator","enhanced FD calculator | post tax FD estimate | FD compounding calculator | fixed deposit maturity planner | Set deposit and compounding terms | Review maturity and post-tax return | Verify the bank rate","1","Reserve Bank of India: https://www.rbi.org.in/","2026-06-30","MyeCA Editorial Team - Tax and compliance editorial team","","","","Human review required: verify claims, source fit, examples, links, CTA, authorship, and visible body; then record approval in the CMS or source context."
"P2","/calculators/gratuity","calculator","needs_revision","no","transactional","Employees leaving or retiring who need an indicative gratuity and tax-planning estimate","gratuity calculator","Gratuity calculator | For employees leaving or retiring | Estimate gratuity and possible tax exposure | Prepare basic salary, DA, completed service, employer type, and settlement letter | Gratuity calculator inputs and output | Salary limits and verification | Exemption next workflow","1","Ministry of Labour and Employment: https://labour.gov.in/","2026-06-30","MyeCA Editorial Team - Tax and compliance editorial team","","","","Human review required: verify claims, source fit, examples, links, CTA, authorship, and visible body; then record approval in the CMS or source context."
"P2","/calculators/gst","calculator","needs_revision","no","transactional","Businesses calculating inclusive or exclusive GST values for an invoice or quotation","GST calculator","GST calculator | For business owners | Estimate inclusive and exclusive GST values | Prepare invoice value, GST rate, place of supply, and HSN/SAC classification | GST calculator inputs and output | Invoice limits and verification | CGST next workflow","1","GST Portal: https://www.gst.gov.in/","2026-06-30","MyeCA Editorial Team - Tax and compliance editorial team","","","","Human review required: verify claims, source fit, examples, links, CTA, authorship, and visible body; then record approval in the CMS or source context."
"P2","/calculators/home-loan","calculator","needs_revision","no","transactional","Home buyers and borrowers comparing housing-loan EMI, interest, and affordability","home loan emi calculator","Home loan calculator | For home buyers | Estimate EMI and possible housing-loan tax planning inputs | Prepare loan certificate, interest component, property use, and regime choice | Home loan calculator inputs and output | EMI limits and verification | Interest next workflow","1","Reserve Bank of India: https://www.rbi.org.in/","2026-06-30","MyeCA Editorial Team - Tax and compliance editorial team","","","","Human review required: verify claims, source fit, examples, links, CTA, authorship, and visible body; then record approval in the CMS or source context."
"P2","/calculators/hra","calculator","needs_revision","no","transactional","Salaried tenants estimating HRA exemption before choosing a tax regime or filing","HRA calculator","HRA calculator | For salaried tenants | Estimate house rent allowance exemption before choosing a tax regime | Prepare rent receipts, landlord details, salary breakup, and Form 16 | HRA calculator inputs and output | Rent limits and verification | Form 16 next workflow","1","Income Tax Department: https://www.incometax.gov.in/","2026-06-30","MyeCA Editorial Team - Tax and compliance editorial team","","","","Human review required: verify claims, source fit, examples, links, CTA, authorship, and visible body; then record approval in the CMS or source context."
"P2","/calculators/income-tax","calculator","needs_revision","no","transactional","Individual taxpayers estimating AY 2026-27 liability and comparing old and new regimes","income tax calculator 2026","AY 2026-27 income tax estimate | Old versus new regime comparison | Use before selecting the ITR path | Income tax calculator inputs and output | Income tax output limits and verification","1","Income Tax Department: https://www.incometax.gov.in/","2026-06-30","MyeCA Editorial Team - Tax and compliance editorial team","","","","Human review required: verify claims, source fit, examples, links, CTA, authorship, and visible body; then record approval in the CMS or source context."
"P2","/calculators/inflation","calculator","needs_revision","no","transactional","Households and investors estimating future cost or purchasing-power erosion","inflation calculator","inflation calculator | future cost calculator | purchasing power calculator | consumer inflation estimate | Set today's cost and time horizon | Interpret future purchasing power | Use a range for planning","1","Reserve Bank of India: https://www.rbi.org.in/","2026-06-30","MyeCA Editorial Team - Tax and compliance editorial team","","","","Human review required: verify claims, source fit, examples, links, CTA, authorship, and visible body; then record approval in the CMS or source context."
"P2","/calculators/loan-eligibility","calculator","needs_revision","no","transactional","Borrowers estimating affordable debt from verified income and existing obligations","loan eligibility calculator","loan eligibility calculator | FOIR calculator | eligible loan amount calculator | Enter income and existing obligations | Review the indicative loan amount | Confirm lender policy","1","Reserve Bank of India: https://www.rbi.org.in/","2026-06-30","MyeCA Editorial Team - Tax and compliance editorial team","","","","Human review required: verify claims, source fit, examples, links, CTA, authorship, and visible body; then record approval in the CMS or source context."
"P2","/calculators/lumpsum","calculator","needs_revision","no","transactional","Investors projecting the future value of a one-time investment under different return assumptions","lumpsum calculator","lumpsum calculator | investment return calculator | future value calculator | Enter investment and holding period | Read the projected value | Stress-test the assumption","1","Securities and Exchange Board of India: https://www.sebi.gov.in/","2026-06-30","MyeCA Editorial Team - Tax and compliance editorial team","","","","Human review required: verify claims, source fit, examples, links, CTA, authorship, and visible body; then record approval in the CMS or source context."
"P2","/calculators/nps","calculator","needs_revision","no","transactional","Retirement savers estimating NPS corpus, annuity allocation, and contribution scenarios","nps calculator","NPS calculator | For retirement planners | Estimate NPS corpus and annuity outcomes | Prepare contribution amount, retirement age, expected return, and deduction eligibility | NPS calculator inputs and output | Retirement limits and verification | Deduction next workflow","1","Pension Fund Regulatory and Development Authority: https://www.pfrda.org.in/","2026-06-30","MyeCA Editorial Team - Tax and compliance editorial team","","","","Human review required: verify claims, source fit, examples, links, CTA, authorship, and visible body; then record approval in the CMS or source context."
"P2","/calculators/personal-loan","calculator","needs_revision","no","transactional","Borrowers comparing personal-loan EMI, affordability, and total borrowing cost","personal loan emi calculator","personal loan emi calculator | personal loan calculator | EMI income ratio calculator | unsecured loan calculator | Enter principal, rate, and tenure | Review EMI and borrowing cost | Compare the sanction letter","1","Reserve Bank of India: https://www.rbi.org.in/","2026-06-30","MyeCA Editorial Team - Tax and compliance editorial team","","","","Human review required: verify claims, source fit, examples, links, CTA, authorship, and visible body; then record approval in the CMS or source context."
"P2","/calculators/ppf","calculator","needs_revision","no","transactional","Long-term savers estimating PPF deposits, maturity value, and 80C planning impact","ppf calculator","PPF calculator | For old-regime savers | Estimate PPF maturity and 80C planning value | Prepare deposit pattern, tenure, interest assumption, and 80C limit | PPF calculator inputs and output | 80C limits and verification | Maturity next workflow","1","Department of Posts - Small Savings Schemes: https://www.indiapost.gov.in/Financial/Pages/Content/Post-Office-Saving-Schemes.aspx","2026-06-30","MyeCA Editorial Team - Tax and compliance editorial team","","","","Human review required: verify claims, source fit, examples, links, CTA, authorship, and visible body; then record approval in the CMS or source context."
"P2","/calculators/rd","calculator","needs_revision","no","transactional","Regular savers estimating recurring-deposit maturity from monthly deposits and booked rates","RD calculator","RD calculator | recurring deposit calculator | RD maturity calculator | monthly deposit calculator | Enter monthly deposit and tenure | Review maturity estimate | Match the deposit terms","1","Reserve Bank of India: https://www.rbi.org.in/","2026-06-30","MyeCA Editorial Team - Tax and compliance editorial team","","","","Human review required: verify claims, source fit, examples, links, CTA, authorship, and visible body; then record approval in the CMS or source context."
"P2","/calculators/regime-comparator","calculator","needs_revision","no","transactional","Taxpayers with deductions and exemptions comparing old and new tax regimes","old vs new tax regime comparator","Regime comparator | For taxpayers with deductions | Make a regime decision using a side-by-side estimate | Prepare eligible deductions, exemptions, salary details, and rebate checks | Regime comparator inputs and output | Deductions limits and verification | Rebate next workflow","1","Income Tax Department: https://www.incometax.gov.in/","2026-06-30","MyeCA Editorial Team - Tax and compliance editorial team","","","","Human review required: verify claims, source fit, examples, links, CTA, authorship, and visible body; then record approval in the CMS or source context."
"P2","/calculators/salary","calculator","needs_revision","no","transactional","Employees and job candidates estimating take-home pay from a CTC and deduction structure","salary calculator","salary calculator | Enter pay components and deductions | Review take-home estimate | Reconcile with payroll records","1","Income Tax Department: https://www.incometax.gov.in/","2026-06-30","MyeCA Editorial Team - Tax and compliance editorial team","","","","Human review required: verify claims, source fit, examples, links, CTA, authorship, and visible body; then record approval in the CMS or source context."
"P2","/calculators/sip","calculator","needs_revision","no","transactional","Long-term investors projecting monthly investment growth under stated return assumptions","sip calculator","SIP calculator | For long-term investors | Project monthly investment growth with compounding assumptions | Prepare investment horizon, expected return, contribution amount, and tax treatment | SIP calculator inputs and output | Mutual fund limits and verification | Investment next workflow","1","Securities and Exchange Board of India: https://www.sebi.gov.in/","2026-06-30","MyeCA Editorial Team - Tax and compliance editorial team","","","","Human review required: verify claims, source fit, examples, links, CTA, authorship, and visible body; then record approval in the CMS or source context."
"P2","/calculators/sip-enhanced","calculator","needs_revision","no","transactional","Investors modelling SIP step-ups, year-wise growth, and different market-return scenarios","enhanced SIP calculator","enhanced SIP calculator | SIP growth calculator | year wise SIP calculator | mutual fund SIP projection | Set contribution and step-up | Review projected corpus | Test market-risk scenarios","1","Securities and Exchange Board of India: https://www.sebi.gov.in/","2026-06-30","MyeCA Editorial Team - Tax and compliance editorial team","","","","Human review required: verify claims, source fit, examples, links, CTA, authorship, and visible body; then record approval in the CMS or source context."
"P2","/calculators/swp","calculator","needs_revision","no","transactional","Retirees and investors testing whether a withdrawal plan may deplete an investment corpus","SWP calculator","SWP calculator | systematic withdrawal plan calculator | retirement withdrawal calculator | monthly withdrawal calculator | Set corpus and withdrawal plan | Review depletion risk | Revisit the withdrawal rate","1","Securities and Exchange Board of India: https://www.sebi.gov.in/","2026-06-30","MyeCA Editorial Team - Tax and compliance editorial team","","","","Human review required: verify claims, source fit, examples, links, CTA, authorship, and visible body; then record approval in the CMS or source context."
"P2","/calculators/tax-regime","calculator","needs_revision","no","transactional","Salaried taxpayers comparing regime outcomes from income, exemptions, and deduction evidence","tax regime comparison","Tax regime calculator | For salaried taxpayers | Compare old regime and new regime outcomes for AY 2026-27 | Prepare deduction proofs, Form 16 values, HRA, NPS, and home-loan certificates | Tax regime calculator inputs and output | New regime limits and verification | AY 2026-27 next workflow","1","Income Tax Department: https://www.incometax.gov.in/","2026-06-30","MyeCA Editorial Team - Tax and compliance editorial team","","","","Human review required: verify claims, source fit, examples, links, CTA, authorship, and visible body; then record approval in the CMS or source context."
"P2","/calculators/tds","calculator","needs_revision","no","transactional","Deductors and payees estimating TDS on a defined payment type and threshold","tds calculator","TDS calculator | For deductors and taxpayers | Estimate tax deduction on selected payment types | Prepare payment nature, threshold, PAN, rate, and Form 26AS credit | TDS calculator inputs and output | Form 26AS limits and verification | Deduction next workflow","1","Income Tax Department: https://www.incometax.gov.in/","2026-06-30","MyeCA Editorial Team - Tax and compliance editorial team","","","","Human review required: verify claims, source fit, examples, links, CTA, authorship, and visible body; then record approval in the CMS or source context."
"P2","/calculators/vda-tax","calculator","needs_revision","no","transactional","Crypto and VDA investors organizing transaction, TDS, and filing records","VDA tax guide","Transaction checklist | Exchange statement readiness | TDS review prompt | ITR filing handoff | VDA & Crypto Tax Guide: output and intended use | VDA & Crypto Tax Guide: inputs to verify | VDA & Crypto Tax Guide: limitations before acting","1","Income Tax Department: https://www.incometax.gov.in/","2026-06-30","MyeCA Editorial Team - Tax and compliance editorial team","","","","Human review required: verify claims, source fit, examples, links, CTA, authorship, and visible body; then record approval in the CMS or source context."
"P2","/capital-gains-import","calculator","needs_revision","no","transactional","Active investors converting broker tax P&L files into a review-ready capital-gains summary","capital gains import","Capital gains import tool | For active investors | Turn broker tax P&L files into review-ready summaries | Prepare broker reports, tradebooks, AIS, and corporate action checks | Capital gains import tool inputs and output | Capital gains limits and verification | AIS next workflow","2","Income Tax Department: https://www.incometax.gov.in/ | Securities and Exchange Board of India: https://www.sebi.gov.in/","2026-06-30","MyeCA Editorial Team - Tax and compliance editorial team","","","","Human review required: verify claims, source fit, examples, links, CTA, authorship, and visible body; then record approval in the CMS or source context."
"P2","/compliance-calendar","page","needs_revision","no","informational","GST-registered businesses, employers, deductors, and taxpayers tracking statutory due dates","compliance calendar 2025","compliance calendar 2025 | tax due dates | gst return deadlines | income tax dates | Build the calendar from registrations | Assign records and owners | Confirm changing due dates","2","Income Tax Department: https://www.incometax.gov.in/ | GST Portal: https://www.gst.gov.in/","2026-06-30","MyeCA Editorial Team - Tax and compliance editorial team","","","","Human review required: verify claims, source fit, examples, links, CTA, authorship, and visible body; then record approval in the CMS or source context."
"P2","/contact","help","needs_revision","no","informational","Customers with a filing, account, payment, document, or service-support question","contact tax expert","contact tax expert | myeca support | tax helpline India | CA consultation online | Choose the right support channel | Send a clear case summary | Keep the support record","2","MyeCA help center: https://myeca.in/help | MyeCA privacy policy: https://myeca.in/legal/privacy-policy","2026-06-30","MyeCA Editorial Team - Tax and compliance editorial team","","","","Human review required: verify claims, source fit, examples, links, CTA, authorship, and visible body; then record approval in the CMS or source context."
"P2","/documents/generator","page","needs_revision","no","informational","Indian individuals, MSMEs, finance teams, employers, and founders choosing a self-service document draft","document generator India","document generator India | financial document generator | GST document format | legal document templates India | Choose the document by purpose | Prepare and review the draft | Complete required external steps","3","MyeCA document-generator scope: https://myeca.in/documents/generator | CBIC GST Invoice Rules: https://cbic-gst.gov.in/gst-invoice-rules.html | ICAI UDIN Portal: https://udin.icai.org/","2026-06-30","MyeCA Editorial Team - Tax and compliance editorial team","","","","Human review required: verify claims, source fit, examples, links, CTA, authorship, and visible body; then record approval in the CMS or source context."
"P2","/documents/generator/delivery-challan","calculator","needs_revision","no","transactional","GST-registered consignors moving goods without a tax invoice under an applicable reason","GST Delivery Challan generator","GST Delivery Challan generator | GST Delivery Challan format India | GST Delivery Challan online | Indian document generator | State why goods move without invoice | Verify Rule 55 particulars | Keep transport compliance separate","3","MyeCA document-generator scope: https://myeca.in/documents/generator | CBIC GST Invoice Rules: https://cbic-gst.gov.in/gst-invoice-rules.html | GST E-Invoice Portal: https://einvoice1.gst.gov.in/","2026-06-30","MyeCA Editorial Team - Tax and compliance editorial team","","","","Human review required: verify claims, source fit, examples, links, CTA, authorship, and visible body; then record approval in the CMS or source context."
"P2","/documents/generator/expense-reimbursement","calculator","needs_revision","no","transactional","Employees, vendors, managers, and accounts teams documenting a business-expense claim","Expense Reimbursement Voucher generator","Expense Reimbursement Voucher generator | Expense Reimbursement Voucher format India | Expense Reimbursement Voucher online | Indian document generator | Document the business expense | Calculate the eligible reimbursement | Complete internal approvals","2","MyeCA document-generator scope: https://myeca.in/documents/generator | Income Tax Department: https://www.incometax.gov.in/","2026-06-30","MyeCA Editorial Team - Tax and compliance editorial team","","","","Human review required: verify claims, source fit, examples, links, CTA, authorship, and visible body; then record approval in the CMS or source context."
